main_speaker,views,speaker_occupation,cluster
Douglas Adams,473220,"Author, satirist",Education and Academia
Jane McGonigal,4573252,Game Designer,Architecture and Design
Shekhar Kapur,733293,Director and writer,Creative Writing and Digital Content
Sam Harris,3433437,"Neuroscientist, philosopher",Science and Technology
Juliana Machado Ferreira,320717,Biologist,Physical and Earth Sciences
Joel Levine,622046,Planetary and atmospheric scientist,Science and Technology
Robert Gupta,1163387,Violinist,Performing Arts and Music
Patsy Rodenburg,176995,Acting and voice coach,Philosophy and Thought Leadership
Kevin Bales,857400,Anti-slavery activist,Social Activism and Human Rights
Shukla Bose,940686,Education activist,Social Activism and Human Rights
Derek Sivers,6475731,Entrepreneur,Business and Economics
Jesse Schell,449161,Game designer,Architecture and Design
Elizabeth Pisani,1222800,Author,Education and Academia
Dean Kamen,523422,Inventor,Science and Technology
Jonathan Drori,403708,Educator,Education and Academia
Natalie Merchant,860139,Singer/songwriter,Creative Writing and Digital Content
Michael Specter,1838628,Writer,Creative Writing and Digital Content
Eric Whitacre,399280,"Composer, conductor",Performing Arts and Music
Edith Widder,579754,Marine biologist,Physical and Earth Sciences
Frederick Balagadde,295059,Inventor,Science and Technology
Tom Wujec,3917039,Designer,Architecture and Design
Omar Ahmad,538014,"Technologist, city councilman",Science and Technology
Kavita Ramdas,473956,Philanthropist,Philanthropy and Social Change
Stephen Wolfram,1542898,"Scientist, inventor",Science and Technology
Sebastian Wernicke,2212944,Data scientist,Science and Technology
Esther Duflo,876307,Development economist,Business and Economics
Nicholas Christakis,1324929,"Physician, social scientist",Science and Technology
Dan Meyer,2465179,Educator,Education and Academia
Julia Sweeney,3362099,"Actor, comedian, playwright",Arts and Entertainment
Viktor Frankl,1028630,"Psychiatrist, neurologist, author",Education and Academia
William Li,4149065,Cancer researcher,Health and Medicine
Graham Hill,2108816,Journalist,Media and Journalism
Dee Boersma,358820,Conservation biologist,Physical and Earth Sciences
Richard Sears,603657,Geophysicist,Physical and Earth Sciences
Craig Venter,1086357,"Biologist, genetics pioneer",Physical and Earth Sciences
Ken Robinson,7266316,Author/educator,Education and Academia
Johanna Blakley,1033272,Media maven,Media and Journalism
Sharmeen Obaid-Chinoy,1057238,Filmmaker,Arts and Entertainment
